index	duration	f0_median	f0_mean	f0_sd	f0_mean_absolute_slope	f0_minimum	f0_maximum	pulses_number	periods_number	period_mean	period_sd	unvoiced_frames_percent	breaks_number	breaks_degree	jitter_local	jitter_absolute	jitter_rap	jitter_ppq5	jitter_ddp	shimmer_local	shimmer_db	shimmer_apq3	shimmer_apq5	shimmer_apq11	shimmer_dda	mean_autocorrelation	mean_noise_to_harmonics_ratio	mean_harmonics_to_noise_ratio	intensity_mean	intensity_sd
far_from_the_madding_crowd_01_-_description_of_farmer_oak--an_incident_Still, this was but conjecture, and the whole series of actions was so idly put forth as to make it rash to assert that intention had any part in them at all.	9.52000	172.35200	174.55500	22.59400	451.99615	102.71200	270.75500	853	820	0.00573	0.00075	0.4304900	28	0.3100900	0.0283700	0.000162660000000	0.0119900	0.0125100	0.0359700	0.1087000	1.0290000	0.0420200	0.0613000	0.1106900	0.1260500	0.8869860	0.1637570	11.9040000	63.072	9.145
far_from_the_madding_crowd_01_-_description_of_farmer_oak--an_incident_The waggoner's steps were heard returning.	2.16000	189.76500	195.52200	49.92000	735.21042	122.90300	478.49300	260	252	0.00510	0.00111	0.3157900	5	0.2438500	0.0255900	0.000130592000000	0.0098200	0.0114600	0.0294500	0.1047900	1.0610000	0.0301600	0.0519700	0.1224300	0.0904900	0.9227480	0.1031910	14.3050000	66.617	9.054
far_from_the_madding_crowd_01_-_description_of_farmer_oak--an_incident_She put the glass in the paper, and the whole again into its place.	4.44000	181.96300	181.85000	35.56900	425.63262	125.97700	494.42100	359	344	0.00550	0.00088	0.5093400	12	0.5531600	0.0309300	0.000170249000000	0.0141000	0.0145300	0.0423100	0.1000700	0.9700000	0.0377400	0.0534200	0.1019500	0.1132200	0.8891530	0.1513170	12.1520000	61.641	9.348
far_from_the_madding_crowd_01_-_description_of_farmer_oak--an_incident_When the waggon had passed on, Gabriel withdrew from his point of espial, and descending into the road, followed the vehicle to the turnpike-gate some way beyond the bottom of the hill, where the object of his contemplation now halted for the payment of toll.	13.96000	181.90600	186.79600	36.77600	611.97906	121.06900	492.30000	1621	1559	0.00539	0.00081	0.3202400	42	0.3293500	0.0256600	0.000138247000000	0.0117200	0.0122700	0.0351500	0.0975200	0.9370000	0.0376700	0.0560300	0.0976500	0.1130200	0.9062000	0.1344880	13.3270000	64.936	9.005
far_from_the_madding_crowd_01_-_description_of_farmer_oak--an_incident_About twenty steps still remained between him and the gate, when he heard a dispute.	4.64000	183.81600	202.04800	62.28200	803.03878	152.35700	484.84200	523	494	0.00506	0.00106	0.4081300	10	0.2095400	0.0247700	0.000125292000000	0.0112800	0.0124500	0.0338400	0.0895500	0.8660000	0.0351200	0.0473600	0.0804400	0.1053600	0.9162160	0.1243270	14.8070000	64.034	10.358
far_from_the_madding_crowd_01_-_description_of_farmer_oak--an_incident_lt was a difference con- cerning twopence between the persons with the waggon and the man at the toll-bar.	5.80000	182.88100	191.06200	38.70600	709.81673	102.28600	465.60400	552	529	0.00526	0.00096	0.4480500	18	0.2636500	0.0302300	0.000159094000000	0.0128900	0.0125700	0.0386700	0.1132200	1.0460000	0.0381900	0.0628900	0.1258300	0.1145800	0.9004230	0.1443980	12.6630000	61.753	10.014
far_from_the_madding_crowd_01_-_description_of_farmer_oak--an_incident_Mis'ess's niece is upon the top of the things, and she says that's enough that I've offered ye, you great miser, and she won't pay any more.	7.44000	170.17200	177.80000	34.34600	507.93151	126.81800	437.06900	757	724	0.00566	0.00088	0.3822000	27	0.3749000	0.0303200	0.000171597000000	0.0131600	0.0143100	0.0394700	0.0994300	1.0260000	0.0371600	0.0547300	0.1059800	0.1114800	0.8771200	0.1809800	11.8770000	63.485	8.563
far_from_the_madding_crowd_01_-_description_of_farmer_oak--an_incident_These were the waggoner's words.	1.68000	178.29400	188.22600	43.34800	585.56700	139.61600	490.36200	196	189	0.00540	0.00085	0.3303200	5	0.2492100	0.0224000	0.000121023000000	0.0102900	0.0120800	0.0308800	0.1136700	1.0690000	0.0358400	0.0616500	0.1236400	0.1075200	0.9043420	0.1301840	12.8850000	64.702	8.656
far_from_the_madding_crowd_01_-_description_of_farmer_oak--an_incident_Very well; then mis'ess's niece can't pass.	2.60000	192.37000	205.63100	52.90400	618.17406	162.99100	485.50500	253	240	0.00492	0.00089	0.4723000	7	0.3551900	0.0191600	0.000094358000000	0.0079500	0.0083800	0.0238400	0.0739300	0.7930000	0.0282900	0.0405000	0.0693000	0.0848600	0.9188120	0.1158250	15.6420000	63.228	11.997
far_from_the_madding_crowd_01_-_description_of_farmer_oak--an_incident_said the turnpike-keeper, closing the gate.	3.92000	162.31400	172.82900	40.07500	794.59599	126.45400	444.33900	222	209	0.00584	0.00112	0.6223500	9	0.2563200	0.0421400	0.000245981000000	0.0187400	0.0189800	0.0562300	0.1152000	1.1500000	0.0471700	0.0646200	0.1071800	0.1415200	0.8191750	0.2672320	8.1100000	57.142	9.662
far_from_the_madding_crowd_01_-_description_of_farmer_oak--an_incident_Oak looked from one to the other of the disputants, and fell into a reverie.	4.36000	179.28700	191.13500	51.81200	764.12845	100.64100	474.55200	476	452	0.00531	0.00107	0.3702400	17	0.2707600	0.0312200	0.000165669000000	0.0126600	0.0124600	0.0379700	0.1066100	1.0380000	0.0405300	0.0626700	0.1173000	0.1215900	0.8950850	0.1526400	12.4240000	63.704	9.528
far_from_the_madding_crowd_01_-_description_of_farmer_oak--an_incident_There was something in the tone of twopence remarkably insignificant.	3.88000	199.57200	205.11200	38.83100	633.49977	123.04900	454.64700	428	410	0.00489	0.00083	0.4299600	12	0.2301100	0.0305800	0.000149621000000	0.0131700	0.0142400	0.0395000	0.0894400	0.8650000	0.0324400	0.0506600	0.1013900	0.0973200	0.9001460	0.1461640	14.1890000	63.404	9.913
far_from_the_madding_crowd_01_-_description_of_farmer_oak--an_incident_Threepence had a definite value as money , it was an appreciable infringement on a day's wages, and, as such, a higgling matter; but twopence , " Here.	9.00000	174.59500	192.61100	53.97300	619.24011	116.35700	480.16400	982	939	0.00526	0.00114	0.3859600	26	0.4424800	0.0295200	0.000155162000000	0.0127700	0.0140400	0.0383100	0.0990400	1.0060000	0.0358600	0.0532500	0.1015100	0.1075900	0.8961130	0.1460100	12.5050000	63.998	9.539
far_from_the_madding_crowd_01_-_description_of_farmer_oak--an_incident_he said, stepping forward and handing twopence to the gatekeeper;	3.40000	174.38400	184.73300	41.16600	614.51905	139.21500	483.39600	333	317	0.00546	0.00091	0.3888900	10	0.3335900	0.0317300	0.000173196000000	0.0138400	0.0127200	0.0415100	0.1138500	1.0400000	0.0451500	0.0645100	0.1193300	0.1354500	0.8907890	0.1575530	12.5660000	63.863	8.976
far_from_the_madding_crowd_01_-_description_of_farmer_oak--an_incident_let the young woman pass.	1.92000	212.50200	214.91700	62.87500	947.88882	119.80000	487.14000	185	171	0.00481	0.00098	0.4624500	4	0.1633000	0.0190700	0.000091755000000	0.0079000	0.0075700	0.0237000	0.0691600	0.6810000	0.0237200	0.0366600	0.0696900	0.0711500	0.9067930	0.1338110	14.9550000	62.589	10.229
far_from_the_madding_crowd_01_-_description_of_farmer_oak--an_incident_He looked up at her then; she heard his words, and looked down.	4.56000	176.19900	178.73700	17.36700	330.35799	149.35000	246.99200	307	297	0.00562	0.00056	0.5735500	9	0.2662800	0.0283000	0.000159068000000	0.0132600	0.0133200	0.0397900	0.1144100	1.1270000	0.0430100	0.0645800	0.1132500	0.1290200	0.9028870	0.1361820	12.8300000	58.208	10.080
far_from_the_madding_crowd_01_-_description_of_farmer_oak--an_incident_Gabriel's features adhered throughout their form so exactly to the middle line between the beauty of St. John and the ugliness of Judas Iscariot, as represented in a window of the church he attended, that not a single lineament could be selected and called worthy either of distinction or notoriety.	14.84000	179.74700	185.39600	33.85600	487.73249	101.41500	482.65900	1921	1867	0.00541	0.00087	0.2698700	43	0.3085900	0.0266000	0.000144013000000	0.0125500	0.0126000	0.0376500	0.0929700	0.9410000	0.0333400	0.0493100	0.0949500	0.1000200	0.9108760	0.1264860	13.9570000	66.890	7.662
far_from_the_madding_crowd_01_-_description_of_farmer_oak--an_incident_The redjacketed and dark- haired maiden seemed to think so too, for she carelessly glanced over him, and told her man to drive on.	7.88000	174.44700	183.16000	41.02900	650.93117	132.55700	472.93600	857	824	0.00550	0.00094	0.3667600	21	0.2211900	0.0278200	0.000152922000000	0.0135600	0.0133200	0.0406800	0.1092800	1.0550000	0.0434700	0.0612400	0.1050500	0.1304200	0.9008140	0.1429100	12.7500000	63.846	9.491
far_from_the_madding_crowd_01_-_description_of_farmer_oak--an_incident_She might have looked her thanks to Gabriel on a minute scale, but she did not speak them; more probably she felt none, for in gaining her a passage he had lost her her point, and we know how women take a favour of that kind.	11.68000	183.01700	192.01900	47.41400	663.47839	101.98400	499.36600	1331	1279	0.00523	0.00098	0.3462000	33	0.3639900	0.0268700	0.000140550000000	0.0121500	0.0115300	0.0364400	0.0874900	0.8940000	0.0318900	0.0470700	0.0835800	0.0956700	0.9067150	0.1312720	13.5400000	65.275	9.378
far_from_the_madding_crowd_01_-_description_of_farmer_oak--an_incident_The gatekeeper surveyed the retreating vehicle.	3.44000	194.14900	196.18000	19.57400	424.25332	137.74000	248.17300	312	303	0.00511	0.00054	0.4967000	8	0.2259900	0.0252500	0.000129120000000	0.0098400	0.0104600	0.0295200	0.0858400	0.9170000	0.0227300	0.0394800	0.0970200	0.0681800	0.9208970	0.1103660	15.0360000	62.120	12.092
far_from_the_madding_crowd_01_-_description_of_farmer_oak--an_incident_That's a handsome maid" he said to Oak "But she has her faults.	4.12000	189.48900	197.10800	55.08400	685.87504	127.34100	478.25800	348	327	0.00510	0.00108	0.5073300	15	0.4726900	0.0320200	0.000163181000000	0.0145500	0.0139300	0.0436600	0.0949600	0.8980000	0.0389900	0.0538800	0.0979800	0.1169600	0.8704370	0.1937100	11.6260000	61.264	9.948
far_from_the_madding_crowd_01_-_description_of_farmer_oak--an_incident_said Gabriel.	0.52000	143.99100	153.55900	32.38800	402.42972	120.89100	211.56600	31	29	0.00666	0.00126	0.5000000	1	0.5227800	0.0455800	0.000303641000000	0.0241300	0.0234400	0.0724000	0.1842900	1.5630000	0.1004500	0.1032400	0.1770700	0.3013500	0.7785780	0.3257590	6.0740000	59.485	4.059
far_from_the_madding_crowd_01_-_description_of_farmer_oak--an_incident_True, farmer.	2.40000	186.78200	192.48800	33.91500	305.15536	134.96600	247.33900	41	39	0.00516	0.00093	0.8485800	1	0.1769000	0.0419800	0.000216609000000	0.0150000	0.0118200	0.0449900	0.1015600	1.1750000	0.0399000	0.0580700	0.0788300	0.1197000	0.8782390	0.1631350	11.3900000	51.958	7.909
far_from_the_madding_crowd_01_-_description_of_farmer_oak--an_incident_And the greatest of them is , well, what it is always.	3.24000	174.13800	182.57800	46.93500	516.81815	144.64600	497.39400	358	347	0.00554	0.00094	0.3613100	8	0.3484700	0.0363600	0.000201492000000	0.0188300	0.0170400	0.0564800	0.0996700	1.0080000	0.0349200	0.0517200	0.1173500	0.1047600	0.8842320	0.1786120	12.5160000	64.832	9.423
far_from_the_madding_crowd_01_-_description_of_farmer_oak--an_incident_Beating people down?	1.56000	193.80700	197.40800	14.08600	530.53240	156.70600	228.55100	126	122	0.00506	0.00041	0.5853700	2	0.0689100	0.0251900	0.000127523000000	0.0102300	0.0137600	0.0306900	0.0820700	0.7800000	0.0236200	0.0422000	0.1119000	0.0708500	0.9136560	0.1266950	14.6550000	58.613	12.955
far_from_the_madding_crowd_01_-_description_of_farmer_oak--an_incident_ay,	0.48000	186.70500	190.13500	20.48900	306.53317	162.12800	227.73900	63	61	0.00527	0.00057	0.2333300	1	0.2275500	0.0245000	0.000128979000000	0.0112400	0.0097300	0.0337100	0.0658600	0.7110000	0.0311400	0.0451200	0.0675100	0.0934300	0.9223140	0.1026890	13.1830000	67.664	5.387
far_from_the_madding_crowd_01_-_description_of_farmer_oak--an_incident_'tis so.	1.44000	179.32700	186.26500	26.74600	480.36998	144.88900	255.52100	56	52	0.00540	0.00081	0.7301600	2	0.1986700	0.0326000	0.000176082000000	0.0161200	0.0145200	0.0483500	0.1155800	0.9810000	0.0466300	0.0601300	0.1616800	0.1398800	0.8607080	0.1901170	9.8930000	57.155	9.253
far_from_the_madding_crowd_01_-_description_of_farmer_oak--an_incident_O no.	1.68000	166.47500	177.23100	33.39800	531.64945	130.06700	233.40800	81	80	0.00565	0.00107	0.7104100	0	0	0.0390600	0.000220706000000	0.0213900	0.0172800	0.0641700	0.0851200	0.8580000	0.0440200	0.0535800	0.0877000	0.1320700	0.8613780	0.2163580	10.6430000	52.246	10.180
far_from_the_madding_crowd_01_-_description_of_farmer_oak--an_incident_What, then?	1.76000	220.95200	190.61700	48.64100	601.06878	101.58900	239.97900	49	45	0.00525	0.00164	0.7878800	2	0.2182700	0.0251500	0.000132015000000	0.0092000	0.0092300	0.0276000	0.1010400	1.0860000	0.0332400	0.0528000	0.1736200	0.0997200	0.8497440	0.2002220	9.0610000	51.708	9.422
far_from_the_madding_crowd_01_-_description_of_farmer_oak--an_incident_Gabriel, perhaps a little piqued by the comely traveller's indifference, glanced back to where he had witnessed her performance over the hedge, and said,	10.84000	176.33800	181.38000	38.28500	459.96120	101.23100	499.42500	1017	980	0.00554	0.00085	0.4556200	25	0.4912000	0.0266400	0.000147629000000	0.0117600	0.0116800	0.0352700	0.0950000	0.9470000	0.0353200	0.0500800	0.0979100	0.1059700	0.9094830	0.1268310	13.3850000	62.025	11.152
far_from_the_madding_crowd_02_-_night--the_flock--an_interior--another_interior_A desolating wind wandered from the north over the hill whereon Oak had watched the yellow waggon and its occupant in the sunshine of a few days earlier.	9.96000	116.55800	120.13100	21.72200	201.59194	84.03600	285.45000	604	575	0.00837	0.00127	0.4823800	23	0.3280100	0.0204000	0.000170744000000	0.0084500	0.0098800	0.0253500	0.0963100	0.9600000	0.0365400	0.0478700	0.0939600	0.1096100	0.8496080	0.2124140	9.3700000	59.339	14.575
far_from_the_madding_crowd_02_-_night--the_flock--an_interior--another_interior_Norcombe Hill , not far from lonely Toller-Down , was one of the spots which suggest to a passer-by that he is in the presence of a shape approaching the indestructible as nearly as any to be found on earth.	15.08000	121.01300	127.97500	26.19300	176.09786	81.27400	210.85700	796	757	0.00782	0.00154	0.5754200	36	0.4976200	0.0226200	0.000177017000000	0.0079700	0.0096600	0.0239100	0.0994700	1.0020000	0.0350400	0.0524700	0.0880200	0.1051300	0.8485570	0.2139790	9.2080000	57.993	15.307
far_from_the_madding_crowd_02_-_night--the_flock--an_interior--another_interior_It was a featureless convexity of chalk and soil , an ordinary specimen of those smoothly-outlined protuber- ances of the globe which may remain undisturbed on some great day of confusion, when far grander heights and dizzy granite precipices topple down.	19.00000	118.63600	122.06300	19.76400	165.60329	85.95100	204.89700	1032	979	0.00822	0.00129	0.5508700	50	0.4547000	0.0225400	0.000185303000000	0.0087300	0.0102800	0.0261900	0.0897900	0.9270000	0.0313800	0.0468400	0.0877000	0.0941500	0.8516500	0.2117840	9.4190000	58.591	14.858
far_from_the_madding_crowd_02_-_night--the_flock--an_interior--another_interior_The hill was covered on its northern side by an ancient and decaying plantation of beeches, whose upper verge formed a line over the crest, fringing its arched curve against the sky, like a mane.	13.40000	119.54200	125.76400	27.59500	192.46819	85.34500	242.55900	820	786	0.00797	0.00159	0.4996300	33	0.5190700	0.0227200	0.000181020000000	0.0079700	0.0097700	0.0239000	0.0999300	1.0460000	0.0372000	0.0515200	0.0909700	0.1116000	0.8477210	0.2163880	9.1710000	59.988	13.480
far_from_the_madding_crowd_02_-_night--the_flock--an_interior--another_interior_To-night these trees sheltered the southern slope from the keenest blasts, which smote the wood and floundered through it with a sound as of grumbling, or gushed over its crowning boughs in a weakened moan.	15.88000	121.86900	126.91400	27.94300	206.11885	81.50500	293.32700	820	782	0.00791	0.00158	0.5892700	33	0.4068400	0.0240500	0.000190332000000	0.0092700	0.0107200	0.0278200	0.0908100	0.9560000	0.0328000	0.0455300	0.0838300	0.0984100	0.8549770	0.2080710	9.6000000	56.157	16.051
far_from_the_madding_crowd_02_-_night--the_flock--an_interior--another_interior_The dry leaves in the ditch simmered and boiled in the same breezes, a tongue of air occasionally ferreting out a few, and sending them spinning across the grass.	11.08000	118.69000	122.67800	20.94100	161.59025	89.36000	196.55100	618	591	0.00818	0.00135	0.5457000	26	0.5591500	0.0208200	0.000170275000000	0.0075500	0.0093700	0.0226500	0.0988300	0.9810000	0.0359400	0.0531400	0.1018100	0.1078100	0.8581030	0.1986490	9.5200000	58.213	15.727
far_from_the_madding_crowd_02_-_night--the_flock--an_interior--another_interior_A group or two of the latest in date amongst the dead multitude had remained till this very mid-winter time on the twigs which bore them and in falling rattled against the trunks with smart taps: Between this half-wooded, half naked hill, and the vague still horizon that its summit indistinctly com- manded, was a mysterious sheet of fathomless shade , the sounds from which suggested that what it con- cealed bore some reduced resemblance to features here.	34.80000	122.23300	127.74000	25.64800	161.39850	86.19600	270.04600	1752	1663	0.00784	0.00149	0.6025300	84	0.5767200	0.0245100	0.000192139000000	0.0089200	0.0104500	0.0267500	0.0927700	0.9640000	0.0322600	0.0480700	0.0961100	0.0967700	0.8456560	0.2261030	9.4940000	56.421	15.757
far_from_the_madding_crowd_02_-_night--the_flock--an_interior--another_interior_The thin grasses, more or less coating the hill, were touched by the wind in breezes of differing powers, and almost of differing natures , one rubbing the blades heavily, another raking them piercingly, another brushing them like a soft broom.	17.96000	116.25600	120.23500	20.22800	153.19592	74.95600	191.20500	941	897	0.00835	0.00135	0.5649700	40	0.4901000	0.0229100	0.000191295000000	0.0092700	0.0100300	0.0278000	0.1103600	1.0870000	0.0367100	0.0540500	0.0948200	0.1101200	0.8599500	0.2008900	9.8440000	56.094	15.747
far_from_the_madding_crowd_02_-_night--the_flock--an_interior--another_interior_The instinctive act of human- kind was to stand and listen, and learn how the trees to each other in the regular antiphonies of a cathedral choir; how hedges and other shapes to leeward them caught the note, lowering it to the tenderest sob; and how the hurrying gust then plunged into the south, to be heard no more.	28.16000	124.23700	127.40700	24.81400	182.93044	80.78700	270.80600	1554	1473	0.00786	0.00142	0.5563500	74	0.5032400	0.0220000	0.000172974000000	0.0078500	0.0092900	0.0235500	0.0945100	0.9750000	0.0360700	0.0482900	0.0862900	0.1082000	0.8491470	0.2181010	9.4940000	56.927	15.307
far_from_the_madding_crowd_02_-_night--the_flock--an_interior--another_interior_The sky was clear , remarkably clear , and the twinkling of all the stars seemed to be but throbs of one body, timed by a common pulse.	10.72000	127.48100	134.03900	31.67800	199.77695	88.18000	232.60800	573	548	0.00745	0.00167	0.5921400	22	0.4527200	0.0233200	0.000173864000000	0.0074100	0.0089000	0.0222200	0.0983000	1.0220000	0.0339400	0.0500200	0.0942000	0.1018200	0.8516540	0.2169650	9.7080000	56.008	16.921
far_from_the_madding_crowd_02_-_night--the_flock--an_interior--another_interior_The North Star was directly in the wind's eye, and since evening the Bear had swung round it outwardly to the east, till he was now at a right angle with the meridian.	11.68000	123.00600	127.97700	25.12400	177.72499	81.71200	232.07900	716	691	0.00783	0.00149	0.5073000	23	0.4215100	0.0226000	0.000176853000000	0.0086900	0.0107000	0.0260600	0.1018200	1.0010000	0.0383500	0.0564500	0.0979000	0.1150500	0.8618480	0.1932460	9.9700000	57.072	15.511
far_from_the_madding_crowd_02_-_night--the_flock--an_interior--another_interior_A difference of colour in the stars , oftener read of than seen in England-was really perceptible here.	7.76000	108.09600	123.99500	37.88100	312.74661	86.69600	297.32700	430	410	0.00806	0.00212	0.5562700	17	0.4137400	0.0278000	0.000224049000000	0.0097400	0.0115700	0.0292300	0.1171600	1.2070000	0.0420500	0.0631400	0.1247800	0.1261400	0.8176790	0.2725020	8.0870000	56.214	15.236
far_from_the_madding_crowd_02_-_night--the_flock--an_interior--another_interior_The sovereign brilliancy of Sirius pierced the eye with a steely glitter, the star called Capella was yellow, Aldebaran and Betelgueux shone with a fiery red.	10.96000	121.06200	126.93300	27.28000	256.65082	82.67700	275.48600	718	683	0.00788	0.00158	0.4785000	28	0.4934200	0.0215400	0.000169811000000	0.0064100	0.0076400	0.0192200	0.0919900	0.9330000	0.0317900	0.0460800	0.0865400	0.0953800	0.8479990	0.2210520	9.3340000	61.635	14.055
far_from_the_madding_crowd_02_-_night--the_flock--an_interior--another_interior_To persons standing alone on a hill during a clear midnight such as this, the roll of the world eastward is almost a palpable movement.	11.08000	122.55400	132.57200	32.21800	181.19361	82.11800	238.72800	564	542	0.00757	0.00173	0.6072400	21	0.3713900	0.0223600	0.000169144000000	0.0072600	0.0086700	0.0217900	0.0942300	0.9530000	0.0340600	0.0482000	0.0943600	0.1021900	0.8662940	0.1848340	10.0160000	55.894	16.318
far_from_the_madding_crowd_02_-_night--the_flock--an_interior--another_interior_The sensation may be caused by the panoramic glide of the stars past earthly objects, which is perceptible in a few minutes of still- ness, or by the better outlook upon space that a hill affords, or by the wind, or by the solitude; but whatever be its origin, the impression of riding along is vivid and abiding.	22.44000	128.25000	132.13600	29.24500	197.47917	81.62700	298.58000	1181	1115	0.00759	0.00164	0.5881300	60	0.5428900	0.0218800	0.000165987000000	0.0072300	0.0081000	0.0216800	0.0979900	1.0150000	0.0341800	0.0483200	0.0887000	0.1025500	0.8531690	0.2095950	9.7040000	58.080	15.427
far_from_the_madding_crowd_02_-_night--the_flock--an_interior--another_interior_The poetry of motion is a phrase much in use, and to enjoy the epic form of that gratification it is necessary to stand on a hill at a small hour of the night, and, having first expanded with a sense of differ- ence from the mass of civilised mankind, who are dreamwrapt and disregardful of all such proceedings at this time, long and quietly watch your stately progress through the stars.	27.20000	129.03000	133.31700	27.58300	184.00971	82.16800	280.16700	1576	1498	0.00752	0.00150	0.5572300	71	0.5027200	0.0226400	0.000170196000000	0.0077000	0.0094100	0.0230900	0.0930800	0.9510000	0.0318400	0.0460900	0.0756900	0.0955300	0.8521440	0.2103840	9.6520000	58.251	14.687
far_from_the_madding_crowd_02_-_night--the_flock--an_interior--another_interior_After such a nocturnal reconnoitre it is hard to get back to earth, and to believe that the consciousness of such majestic speeding is derived from a tiny human frame.	13.60000	118.30200	122.65700	22.81200	172.54882	82.87300	223.47000	581	547	0.00818	0.00147	0.6403800	31	0.4930200	0.0255100	0.000208547000000	0.0088800	0.0103500	0.0266300	0.1180900	1.1210000	0.0424100	0.0589700	0.0874700	0.1272300	0.8315280	0.2413090	8.5430000	54.880	14.835
far_from_the_madding_crowd_02_-_night--the_flock--an_interior--another_interior_Suddenly an unexpected series of sounds began to be heard in this place up against the sky.	6.88000	115.17900	123.42400	30.87000	218.44717	86.08500	230.02100	327	310	0.00812	0.00183	0.6160600	16	0.3958700	0.0277300	0.000225122000000	0.0098600	0.0126100	0.0295700	0.1099100	1.1140000	0.0392700	0.0542100	0.1006800	0.1178100	0.8269640	0.2445550	8.0790000	55.844	15.722
far_from_the_madding_crowd_02_-_night--the_flock--an_interior--another_interior_They had a clearness which was to be found nowhere in the wind, and a sequence which was to be found nowhere in nature.	8.72000	118.13700	132.78500	36.61100	260.50853	84.18000	298.87400	463	440	0.00759	0.00187	0.5926400	17	0.4126400	0.0294100	0.000223088000000	0.0108900	0.0124400	0.0326600	0.1113500	1.0920000	0.0413700	0.0560800	0.1001700	0.1241100	0.8421650	0.2292960	9.0470000	53.516	17.039
far_from_the_madding_crowd_02_-_night--the_flock--an_interior--another_interior_They were the notes of Farmer Oak's flute.	4.68000	135.71400	143.65200	30.84400	228.00679	100.86900	200.75900	155	147	0.00700	0.00156	0.7607800	5	0.2828200	0.0316500	0.000221694000000	0.0113600	0.0148200	0.0340700	0.1550900	1.3300000	0.0510500	0.0766000	0.2450500	0.1531500	0.8197810	0.2704600	8.2630000	49.769	15.912
far_from_the_madding_crowd_02_-_night--the_flock--an_interior--another_interior_The tune was not floating unhindered into the open air: it seemed muffled in some way, and was altogether too curtailed in power to spread high or wide.	10.12000	121.55500	134.92800	39.49200	283.70002	88.16800	278.67400	666	637	0.00743	0.00204	0.5014900	27	0.3960400	0.0260000	0.000193189000000	0.0099200	0.0116300	0.0297700	0.0944600	0.9560000	0.0318600	0.0464200	0.0748800	0.0955800	0.8457900	0.2181210	9.2090000	58.605	14.363
far_from_the_madding_crowd_02_-_night--the_flock--an_interior--another_interior_It came from the direction of a small dark object under the plantation hedge , a shepherd's hut , now presenting an outline to which an uninitiated person might have been puzzled to attach either meaning or use.	15.32000	123.20000	130.50200	28.49500	237.89173	89.11200	282.40800	768	722	0.00770	0.00154	0.5984300	42	0.5136600	0.0291600	0.000224412000000	0.0098600	0.0113500	0.0295700	0.1021000	0.9990000	0.0336100	0.0539700	0.1122100	0.1008200	0.8334310	0.2446470	8.8780000	56.419	15.173
far_from_the_madding_crowd_02_-_night--the_flock--an_interior--another_interior_The image as a whole was that of a small Noah's Ark on a small Ararat, allowing the traditionary outlines and general form of the Ark which are followed by toy- makers , and by these means are established in men's imaginations among their firmest, because earliest im- pressions , to pass as an approximate pattern.	20.20000	119.85200	126.07000	28.47700	226.18921	81.31200	299.29000	1131	1068	0.00794	0.00163	0.5483400	54	0.4969900	0.0259000	0.000205513000000	0.0094300	0.0111100	0.0282900	0.0970400	1.0050000	0.0362300	0.0519300	0.0859900	0.1087000	0.8335250	0.2473300	9.0910000	57.362	14.877
far_from_the_madding_crowd_02_-_night--the_flock--an_interior--another_interior_The hut stood on little wheels, which raised its floor about a foot from the ground.	6.32000	122.92500	125.30700	27.75400	233.11638	82.38700	217.49500	279	265	0.00802	0.00175	0.6248000	12	0.3925800	0.0296700	0.000237871000000	0.0095300	0.0103700	0.0285800	0.1097200	1.0570000	0.0347400	0.0541100	0.1107300	0.1042200	0.8519710	0.2112690	9.2910000	54.135	15.911
far_from_the_madding_crowd_02_-_night--the_flock--an_interior--another_interior_Such shepherds' huts are dragged into the fields when the lambing season comes on, to shelter the shepherd in his- enforced nightly attendance.	9.96000	118.54600	127.33600	29.66100	222.79692	88.21300	233.14300	439	412	0.00785	0.00167	0.6273900	25	0.4458700	0.0318200	0.000249876000000	0.0115400	0.0140900	0.0346200	0.1075800	1.0670000	0.0373500	0.0530700	0.0807500	0.1120500	0.8309960	0.2459340	8.6580000	55.632	15.354
far_from_the_madding_crowd_02_-_night--the_flock--an_interior--another_interior_It was only latterly that people had begun to call Gabriel "Farmer" Oak.	5.16000	117.20000	140.95100	49.14800	327.83196	87.65400	261.17400	276	262	0.00711	0.00229	0.6120900	11	0.3192500	0.0292300	0.000207702000000	0.0113000	0.0122400	0.0338900	0.1174700	1.1630000	0.0428700	0.0646500	0.1403800	0.1286000	0.8318150	0.2534090	8.6190000	53.499	16.781
far_from_the_madding_crowd_02_-_night--the_flock--an_interior--another_interior_During the twelvemonth pre- ceding this time he had been enabled by sustained efforts of industry and chronic good spirits to lease the small sheep farm of which Norcombe Hill was a portion, and stock it with two hundred sheep.	14.12000	127.08600	137.41000	35.52100	277.53090	84.59500	269.10200	812	761	0.00731	0.00178	0.5699100	44	0.5924300	0.0305200	0.000223005000000	0.0101700	0.0114600	0.0305000	0.0959200	0.9910000	0.0322000	0.0443100	0.0738700	0.0966100	0.8431130	0.2274690	9.3580000	59.224	14.213
far_from_the_madding_crowd_02_-_night--the_flock--an_interior--another_interior_Previously he had been a bailiff for a short time, and earlier still a shepherd only, having from his childhood assisted his father in tending the flocks of large proprietors, till old Gabriel sank to rest.	17.44000	117.66900	127.67300	28.25600	198.32698	83.29200	216.59900	772	736	0.00782	0.00169	0.6410100	33	0.4290600	0.0280400	0.000219358000000	0.0100000	0.0126300	0.0300000	0.0999700	1.0370000	0.0341400	0.0458400	0.0867800	0.1024200	0.8389140	0.2360280	9.0600000	52.965	16.501
